City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,utrik,11.2278,169.8474,26.43,81,100,7.17,MH,1707240436
83,lebu,-37.6167,-73.65,20.1,80,77,4.1,CL,1707240436
84,tura,25.5198,90.2201,14.76,86,62,1.16,IN,1707240188
85,kerema,-7.9631,145.7785,25.31,87,90,1.9,PG,1707240436
86,banda aceh,5.5577,95.3222,25.61,87,99,5.1,ID,1707240261
87,pokachi,61.7198,75.3683,-1.19,96,97,3.16,RU,1707240437
88,mount isa,-20.7333,139.5,28.87,54,74,4.63,AU,1707240226
89,ilulissat,69.2167,-51.1,-13.99,47,75,8.75,GL,1707240437
90,kone,-21.0595,164.8658,24.97,92,100,2.44,NC,1707240438
91,dauphin,51.1494,-100.0502,1.08,86,100,2.06,CA,1707240438
92,igrim,63.1906,64.4162,-16.76,98,96,1.69,RU,1707240439
93,vilyuchinsk,52.9306,158.4028,-8.85,89,95,3.11,RU,1707240439
94,dondo,-19.6094,34.7431,29.73,78,18,2.69,MZ,1707240439
95,quirinopolis,-18.4483,-50.4517,29.87,47,100,3.44,BR,1707240439
96,essaouira,31.5125,-9.77,20.72,64,40,3.09,MA,1707240439
97,matthew town,20.95,-73.6667,25.47,60,41,8.28,BS,1707240440
98,broken hill,-31.95,141.4333,18.08,34,34,6.36,AU,1707240279
99,qaqortoq,60.7167,-46.0333,-12.38,63,0,3.62,GL,1707240441
100,ushuaia,-54.8,-68.3,17.81,36,0,3.6,AR,1707240441
101,mombetsu,44.3525,143.3525,-12.06,90,71,1.97,JP,1707240441
102,trappenkamp,54.05,10.25,10.33,96,100,11.34,DE,1707240441
103,itaituba,-4.2761,-55.9836,33.09,58,40,4.12,BR,1707240441
104,gereida,11.2811,25.1414,24.55,13,15,4.77,SD,1707240442
105,xai-xai,-25.0519,33.6442,24.56,78,6,3.76,MZ,1707240442
106,sittwe,20.15,92.9,22.27,73,0,4.88,MM,1707240442
107,afaahiti,-17.75,-149.2833,27.93,90,100,1.34,PF,1707240270
108,conceicao da barra,-18.5933,-39.7322,30.03,60,83,3.89,BR,1707240443
109,rongelap,11.1635,166.8941,26.08,84,76,6.87,MH,1707240213
110,kyren,51.6828,102.1408,-12.25,73,9,1.79,RU,1707240443
111,keflavik,64.0049,-22.5624,-1.76,64,75,8.75,IS,1707240443
112,nova sintra,14.8667,-24.7167,21.23,69,0,6.3,CV,1707240444
113,beloyarskiy,63.7119,66.6722,-21.67,100,95,1.27,RU,1707240444
114,gadzhiyevo,69.2551,33.3362,-16.67,97,99,5.51,RU,1707240444
115,allapalli,19.4167,80.0667,25.23,44,0,1.27,IN,1707240444
116,pacific grove,36.6177,-121.9166,11.9,89,40,0.45,US,1707240445
117,quellon,-43.1167,-73.6167,16.83,75,100,6.72,CL,1707240445
118,invercargill,-46.4,168.35,12.23,98,100,3.13,NZ,1707240445
119,hermanus,-34.4187,19.2345,24.33,65,32,9.68,ZA,1707240206
